Class,ax_Max,ay_Max,az_Max,gx_Max,gy_Max,gz_Max,ax_Min,ay_Min,az_Min,gx_Min,gy_Min,gz_Min,ax_Mean,ay_Mean,az_Mean,gx_Mean,gy_Mean,gz_Mean,ax_Median,ay_Median,az_Median,gx_Median,gy_Median,gz_Median,ax_Mode,ay_Mode,az_Mode,gx_Mode,gy_Mode,gz_Mode,ax_SD,ay_SD,az_SD,gx_SD,gy_SD,gz_SD,ax_Variance,ay_Variance,az_Variance,gx_Variance,gy_Variance,gz_Variance,ax_Skewness,ay_Skewness,az_Skewness,gx_Skewness,gy_Skewness,gz_Skewness,ax_Kurtosis,ay_Kurtosis,az_Kurtosis,gx_Kurtosis,gy_Kurtosis,gz_Kurtosis,ax_CV,ay_CV,az_CV,gx_CV,gy_CV,gz_CV
Move,0.8403648,-4.5441947,-9.674969,0.11269633,0.22068207,0.039155126,0.12928689,-5.058948,-11.195287,-0.2981888,-0.23310354,-0.052774426,0.634594498,-4.784396355,-10.25616771,0.000707329,0.001964916,0.000435054,0.58657944,-4.7740383,-10.261548,0.000249,0.005780092,-0.000148,0.5530606,-4.7740383,-10.292673,-0.010276111,0.001916388,0.000518,0.1198074,0.079053095,0.082052291,0.029115812,0.026531219,0.006899703,0.014353813,0.006249392,0.006732578,0.00084773,0.000703906,4.76E-05,-0.135488962,-0.255984177,-3.528131513,-4.113910224,-0.490498877,-1.670569351,-0.569135184,-0.604883121,48.68768578,36.74860263,33.08634247,19.19155102,0.188793632,-0.016523107,-0.008000288,41.1630571,13.50247138,15.85942305
Move,0.8571242,-4.654328,-9.76116,0.08764885,0.22401285,0.03276003,0.33279404,-5.00867,-10.757148,-0.19560076,-0.15343124,-0.055039357,0.578915457,-4.835460871,-10.22842012,0.001557485,0.005757377,-0.000800208,0.5793968,-4.8255136,-10.235212,0.003513324,0.005979939,-0.000548,0.5746084,-4.783615,-10.2495775,0.01996738,0.00764533,-0.000415,0.051897877,0.06661127,0.068702598,0.025331322,0.020921995,0.006563875,0.00269339,0.004437061,0.004720047,0.000641676,0.00043773,4.31E-05,-0.122931695,-0.206418133,0.324005725,-2.362175783,3.431198904,-3.017155727,5.66047779,-0.825816191,16.33095894,15.71138177,55.54235673,31.61691711,0.08964673,-0.013775578,-0.006716834,16.26424577,3.633945523,-8.20271048
Move,1.6089035,-6.8426285,-8.355764,0.05847121,0.04295161,0.016505815,1.3072342,-7.101202,-8.626308,-0.066233225,-0.038186222,-0.018267535,1.476572217,-6.947416305,-8.520381744,-0.001759406,0.002986446,0.001309047,1.5011644,-6.9383965,-8.528147,0.001181776,0.003781626,0.001583918,1.5514427,-6.9048777,-8.578424,0.004512558,-0.001281163,0.000118,0.081624403,0.061614316,0.062119707,0.020426987,0.014220891,0.006095258,0.006662543,0.003796324,0.003858858,0.000417262,0.000202234,3.72E-05,-0.536913577,-0.429409385,0.408078543,-0.472721621,-0.344566617,-0.118256149,-1.007265454,-0.773297518,-0.828013533,0.260824157,0.152590017,-0.065730578,0.055279655,-0.008868666,-0.007290719,-11.61016436,4.76181141,4.656256137
Move,2.0805612,-6.4763155,-7.989451,0.1689199,0.17178622,0.111099996,0.9504981,-7.5920134,-8.808268,-0.18414289,-0.089879945,-0.11965651,1.646260633,-6.949926474,-8.479750884,0.001343897,0.007395417,0.00187493,1.6759412,-6.933608,-8.492233,0.001714703,0.005913323,0.003449156,1.6927006,-6.871359,-8.566454,0.014904594,0.006313017,-0.003612098,0.151890421,0.174274596,0.126345216,0.049792373,0.032647318,0.028330108,0.0230707,0.030371635,0.015963114,0.00247928,0.001065847,0.000802595,-1.00514834,-0.904485179,0.8280822,-0.310682015,0.487246057,-0.679460593,3.536383236,2.183476916,1.831029053,1.591249512,4.974320514,5.174022416,0.092263897,-0.025075747,-0.014899638,37.05072436,4.414533515,15.10995617
Move,2.171541,-5.8945246,-8.243237,0.36023998,0.28956264,0.10657013,1.0271125,-7.589619,-8.853758,-0.4342179,-0.17448178,-0.25581884,1.448492028,-6.888831504,-8.573245634,-0.005919029,0.007552066,0.000194812,1.4317327,-6.885724,-8.583213,-0.007211791,0.008045023,0.001517303,1.4197617,-6.8522053,-8.607155,-0.026663553,0.003115469,-0.006143492,0.159313774,0.165522925,0.088736901,0.067027299,0.037623496,0.049024099,0.025380879,0.027397839,0.007874238,0.004492659,0.001415527,0.002403362,0.66880772,0.577919971,0.352229211,-0.383804116,1.218767326,-1.473447804,1.51977044,7.769279,0.637132996,13.36611407,14.71252147,4.95555141,0.109985952,-0.024027722,-0.010350444,-11.32403651,4.981881059,251.6485554
Move,1.5610195,-6.7731967,-8.439561,0.067264475,0.028695865,0.018371053,1.2162545,-7.007828,-8.707711,-0.03718882,-0.04204993,-0.008674887,1.351519309,-6.889632942,-8.589130562,-0.000372124,0.001390757,0.001900186,1.3575124,-6.8905125,-8.588001,-0.00314824,0.002316082,0.001450687,1.3694834,-6.8785415,-8.585608,-0.011608422,0.002316082,0.001184224,0.059279696,0.042307331,0.04746274,0.017917625,0.010614719,0.004799921,0.003514082,0.00178991,0.002252712,0.000321041,0.000112672,2.30E-05,0.218282397,0.086008555,0.07308917,0.953807694,-0.698585198,0.542850643,0.162075307,-0.032768035,-0.178533133,1.154747595,1.076456533,0.268730567,0.043861524,-0.006140723,-0.005525907,-48.14961137,7.632331835,2.526026778
Move,1.8124107,-6.6893997,-8.413225,0.05220934,0.055475343,0.025299087,1.364695,-7.019799,-8.762778,-0.0742271,-0.019134147,-0.026927564,1.593220239,-6.843382047,-8.593689595,-0.00056622,0.01003943,0.000435342,1.5777789,-6.835446,-8.59279,-0.001283001,0.008844411,0.000118,1.745373,-6.811504,-8.59279,-0.012541041,0.00764533,0.000918,0.132227965,0.059141097,0.056191584,0.019513999,0.011878786,0.007541084,0.017484235,0.003497669,0.003157494,0.000380796,0.000141106,5.69E-05,0.041946516,-0.296638704,0.049737065,-0.189389482,0.834832943,0.129873871,-1.57651586,-0.325606308,0.557526463,0.878949293,1.484219731,1.904117092,0.082994153,-0.008642086,-0.006538703,-34.46364666,1.183213179,17.32218933
Move,1.5945383,-6.6726403,-8.4587145,0.05940383,0.045216538,0.015839659,1.2330139,-7.007828,-8.801085,-0.08182128,-0.073359266,-0.015869375,1.466085613,-6.826242091,-8.630834982,-0.003908783,0.003855532,0.000367172,1.4748282,-6.823475,-8.6334915,-0.006279174,0.00564686,0.001850381,1.472434,-6.8067155,-8.659827,-0.010809034,0.006179789,0.002916231,0.078355447,0.067296097,0.070391534,0.021515731,0.014365527,0.005993946,0.006139576,0.004528765,0.004954968,0.000462927,0.000206368,3.59E-05,-0.889223183,0.023112584,-0.015263262,0.102695472,-1.123451976,-0.605801925,0.150890117,-0.665069845,-0.458463408,0.061072007,4.269231639,-0.292743027,0.053445342,-0.00985844,-0.00815582,-5.504457263,3.725952011,16.32463072
Move,2.0973208,-6.469133,-8.487445,0.08138698,0.066400304,0.04914748,1.316811,-7.065289,-8.868123,-0.14683814,-0.113195404,-0.06196738,1.84796835,-6.750068709,-8.63325184,-0.002684733,0.005629892,-0.001257689,1.8555063,-6.751649,-8.626308,-0.00055,0.005780092,-0.000281,1.8507179,-6.7444663,-8.611943,-0.000683,0.016571822,0.003315925,0.124141041,0.071104122,0.055545108,0.026981594,0.022563549,0.016032645,0.015410998,0.005055796,0.003085259,0.000728006,0.000509114,0.000257046,-0.830134155,0.206647986,-0.867577354,-1.479940873,-0.683882655,-0.639635955,1.420376381,2.574102776,2.005100164,5.753079761,3.46681386,2.545260297,0.067177038,-0.010533837,-0.006433857,-10.05001133,4.007812225,-12.7476991
Move,2.1308396,-6.694188,-8.3150625,0.07898882,0.058006737,0.046482854,1.5035586,-7.067683,-8.676587,-0.09687641,-0.056705363,-0.058103677,1.795245515,-6.853770346,-8.540215801,-0.001641045,0.006326065,0.002507566,1.7908629,-6.8450227,-8.544906,-0.0002175,0.004247934,0.002783,1.6903064,-6.8186865,-8.59279,-0.003614547,-0.001680857,0.002383306,0.113848604,0.054222424,0.066765224,0.021287923,0.019400533,0.01470723,0.012961505,0.002940071,0.004457595,0.000453176,0.000376381,0.000216303,0.529226429,-0.408680451,0.366091371,-0.501801487,0.163855033,-0.652600006,-0.156168269,0.240437368,-0.488673158,2.267361548,0.155041904,3.41447774,0.063416732,-0.007911328,-0.007817744,-12.97217755,3.066761676,5.865142829
